,Unnamed: 0,0,1,2,grade
158,158,TFK Kid Reporters: Meet Tabitha,"{'People', 'Community'}","
Meet Tabitha Kho, one of the 10 outstanding kids selected to be a TFK Kid Reporter this school year. Tabitha is 11 years old and lives in Atlanta, Georgia. She enjoys skiing, hates mosquitoes, and loves to read. Some of Tabitha’s favorite books are The Westing Game, The Phantom Tollbooth, and Chris Colfer’s Land of Stories series.
Finalists in the TFK Kid Reporter contest were judged on a number of factors. One of their assignments was to write an article about a hometown hero. Tabitha’s story is about the founders of an organization that supports food-service workers. You can read it below. 

COVID-19 robbed millions of food-service workers of their jobs as some restaurants went bankrupt and others ran dry of customers. People were abruptly thrown into crisis. 
Janae’ Littlejohn was one of those people. She worked as a recruiter by day and in the food-service industry by night to support her dream of becoming Miss America. Then she lost her car in an accident on her way to a pageant competition. Shortly after that, Littlejohn began to feel sick. Struggling to breathe and unable to work because of COVID-19, she faced homelessness. But then, Littlejohn told TIME for Kids, “Giving Kitchen brought hope back into my world.”
Giving Kitchen is an organization that was “designed to provide stability to food-service workers in crisis,” Naomi Green says. She’s Giving Kitchen’s senior director of field operations. 
Giving Kitchen was born out of crisis in 2012. On December 21 of that year, Ryan Hidinger was diagnosed with cancer and given six months to live. He and his wife, Jen, had moved to Atlanta, Georgia, with a dream of starting a restaurant. They had hosted a supper club for a few years as a way of bonding with their new community. After Ryan’s diagnosis, that community made all the difference. A fundraiser set up to support the Hidingers was meant to raise $25,000 but accumulated nearly $300,000! At the time, Ryan said he felt he “had already won in life.”
Then, Jen says, the couple heard “so many more stories” of other food-service workers who had gotten hurt or sick and were unable to work. The stories “became incredibly real,” she says. “We immediately shared that money with other people in need.” 

Ryan and Jen founded Giving Kitchen to give back to their community. Today, Jen continues the work that she and her late husband began, enlarging Giving Kitchen to serve more people in more ways. Since dedicating herself to the effort full-time, in 2019, Jen has helped Giving Kitchen expand beyond Georgia. She helped set up a program in Nashville, Tennessee, with the goal of helping people throughout the nation.
The organization has grown in other ways, too. “Those first years, [people] would tell us that they were really suffering from depression” or other problems, Jen says. So Giving Kitchen connected people with helpful resources. “We started to develop close relationships with service providers who were willing to offer their services for low or no cost to our clients,” she says.
Now, long after receiving life-changing help, Littlejohn works with Giving Kitchen too. “I find . . . redemption in it,” she says. Littlejohn may not have been able to attain her Miss America crown. But “I’m still gonna wear a crown, even if I didn’t win one that day,” she says. 
On June 8, Jen gave Littlejohn a Giving Kitchen crown of her own.


",g3456
159,159,Reef Relief?,"{'Environment', 'Places'}","
Tony Fontes is from California. He first went scuba diving at Australia’s Great Barrier Reef in 1979. Fontes was amazed by the experience.  He decided to stay in Australia and work as a dive instructor. “The marine life and the quality of coral [were] unmatched,” he told TIME. 

Over the years, Fontes has seen the reef’s health decline. So he was disappointed on July 23.  On that day, the United Nations Educational, Scientific, and Cultural Organization (UNESCO) made an announcement. It had decided to delay labeling the reef as “in danger.” This label would have given the reef “the kind of protection it needs,” Fontes says. Could the delay cost the Great Barrier Reef its future?
Behind the Decision
The Great Barrier Reef is the world’s largest coral reef . It stretches for 1,430 miles along the northeast coast of Australia. It can be seen from space. The reef is a UNESCO World Heritage site (see “Around the World”). 
On June 21, UNESCO recommended that the reef be placed on a list of “in danger” World Heritage sites. UNESCO said  is a “serious threat” to the reef. But Australia’s government argued against the “in danger” label. The reef is one of the country’s top tourist spots. It attracts millions of visitors a year. That may change if the reef is listed as endangered.

The day after UNESCO’s announcement, Sussan Ley made a statement. Ley is a member of Australia’s government. She’s in charge of environmental issues. “This . . . recommendation has been made without examining the reef firsthand and without the latest information,” she said. Ley noted that the country was spending  $3 billion Australian (about $2 billion United States) to protect the reef. 
In response, UNESCO announced on July 23 that it would wait to make its decision. It asked Australia’s government to deliver a report on the reef. That report is expected by February 2022.
Climate Change Concerns
Environmentalists and scientists are worried about UNESCO’s delayed decision. Many have warned of the danger that climate change poses to the reef. 
In 2020, researchers from the ARC Centre of Excellence for Coral Reef Studies, in Queensland, Australia, released a study. It found that from 1995 to 2017, the Great Barrier Reef had lost more than half of its corals. And there were three mass bleaching events from 2016 to 2020. (Bleaching happens when corals are stressed by changes in conditions. These include warming waters.)

With its report due early next year, Australia has to prove it’s willing to take action. Fontes hopes for the best. It’s “the most incredible reef,” he says. “But it’s in serious trouble.”
 Around the World
The Great Barrier Reef is a World Heritage site. It is one of 1,154. UNESCO says a place must be “of outstanding universal value” to make the list. It must meet at least one of 10 criteria. These are natural, cultural, and historical reasons a site might be important. The Porticoes of Bologna (below) are in Italy. They were one of the sites UNESCO added in 2021. Being on the list attracts tourism. It also draws attention to places that are environmentally important.


",g3456
160,160,Giants in Danger,"{'Environment', 'United States'}","
California’s KNP Complex wildfire forced the evacuation of Sequoia National Park on September 14. The blaze threatened the park’s giant sequoia trees. These are some of the largest trees in the world. 
By September 17, the fire had reached the edge of the park’s Giant Forest. That’s a grove of 2,000 sequoias. Firefighters covered the bases of trees with heat-resistant aluminum. This helped keep the fire from reaching farther into the area. “The fire perimeter kind of wraps around the Giant Forest,” fire spokesperson Rebecca Paterson says. 
A blaze called the Windy Fire burned through other sequoia groves. These included Peyrone and Red Hill. It also struck the Trail of 100 Giants, at the Giant Sequoia National Monument. At press time, the fire had burned almost 50 square miles. It was only 7% contained. 
Scientists say climate change is causing warmer and drier conditions in the West. These conditions will lead to more-frequent wildfires. 
Stop and Think! How do the headline and photo work together to grab your attention? How do they help you understand the story?
",g3456
162,162,Bad Bug Alert,"{'Environment', 'Earth Science'}","
The spotted lanternfly might look pretty with its red wings and black dots. But the mothlike insect is causing big problems in the United States. Experts are telling people to take action against the pest.
“Kill it! Squash it, smash it . . . just get rid of it.” That’s what the Pennsylvania Department of Agriculture says to do if you see one. The spotted lanternfly is native to Asia. In the U.S., it’s an invasive species. The bugs were found in Pennsylvania in 2014. They have now spread to at least nine states. 
Spotted lanternflies are not dangerous to humans. But they can cause serious harm to plants. They suck sap from trees and release a sticky substance after they feed. This causes mold to grow on plants.
",g3456
163,163,Making a Splash,"{'Science', 'Space'}","
After three days of orbiting the planet, the Inspiration4 crew returned to Earth in the SpaceX Dragon capsule. On September 18, the crew splashed down in the Atlantic Ocean off the Florida coast.
",g3456
165,165,The Kid Report: Testing the Water,"{'Science', 'Opinion'}","
The story “Testing the Water”—about how scientists are testing wastewater for the coronavirus—appears in this week’s issue of TIME for Kids. Allie Amison took part in a wastewater testing program at her school, and writes about it below.

The University of California San Diego (UCSD), runs a program called Safer at School Early Alert, or SASEA. It’s for schools and childcare facilities. I go to Vista Grande Elementary, in El Cajon, California. I was lucky enough to participate in SASEA. The program uses a robot to test wastewater for the virus that causes COVID-19. We named our robot Harry Botter. It has tubes that go into sewer drains to bring up wastewater for laboratory testing. It was really cool to see the robot in action. The SASEA program also does voluntary nasal swab testing. 
I got tested for COVID-19 once a week for about eight weeks. I hope programs like SASEA will help kids around the world get back to school safely. I’m so thankful that SASEA was there to help our school.
",g3456
166,166,Testing the Water,"{'United States', 'Science'}","
If it’s flushed down the toilet, Rob Knight wants to know about it. He’s a researcher at the University of California San Diego. He specializes in microbes. These are tiny organisms that live in your gut.  
Knight is testing the university’s . He’s looking for the coronavirus that causes COVID-19. The virus can be found in pee and poop even before people show symptoms of the disease.

Knight uses a robot. It collects samples of wastewater from a building’s pipes. If tests find the virus in those samples, people are warned to stay away. Knight’s team then gives COVID-19 tests to everyone who uses the building. Anyone infected is kept out.
The system has reduced cases of the disease at the university. Samples testing positive dropped from around 80% in January to just 5% in the spring. It has “exceeded our wildest dreams,” Knight told TIME. 

Speedy Results
Knight’s system could work for cities and states. Officials could test the wastewater in sewage plants. This would tell them if the virus was there before many people showed symptoms. 
By testing people in that area, they could identify infected people and tell them to stay home. This might stop an outbreak before it happened.
In September 2020, the U.S. Centers for Disease Control and Prevention (CDC) started a national wastewater  program. Currently, 33 states and four cities can upload wastewater information to the CDC’s online database. Scientists study the data. Officials could get the results six days sooner than they would just by testing people for COVID-19.

“It’s enough time to really make a difference,” Amy Kirby says. She leads the CDC program.
This could be a way to fight diseases in the future, Kirby says. The next dangerous virus could be picked up and managed more quickly—thanks to our pee and poop.
",g3456
167,167,Searching for Hope,"{'Books', 'Time Off'}","
Cuba in My Pocket follows 12-year-old Cumba from Cuba to Florida. He travels in the 1960s. Cumba must find his way in an unfamiliar place. Over time, he learns how to trust others and overcomes challenges.
Adrianna Cuevas based the story on her dad’s experience. Like Cumba, he came to the United States when he was young. Cuevas told TFK that writing the book taught her the power that stories have “to preserve things that are important to you.”
Cuevas feels that hope is an important theme in the book. “To me, hope means that I know that I’m going to be okay, regardless of the circumstances around me,” she says.
",g3456
168,168,A Terrifying Trip,"{'Movies and Television', 'Time Off'}","
In The Addams Family 2, your favorite creepy kids, Wednesday and Pugsley Addams, are growing up to be creepy teenagers. Morticia and Gomez are their parents. Mom and Dad are upset that the kids no longer want to hang out with them. So they pack the entire Addams clan into a haunted camper. Together, the family sets out on a cross-country road trip. 
Javon “Wanna” Walton, 15, voices Pugsley in the film. He told TIME for Kids that Pugsley was a fun character to play.  “He’s super energetic, and he’s such a troublemaker,” Javon says.  
Javon believes the Addamses can teach families an important lesson. “They embrace that it’s cool to be different,” he says. 
The Addams Family 2 will be in theaters and on demand on October 1. 
",g3456
169,169,TFK Kid Reporters: Meet Lucy,"{'People', 'Community'}","
Meet Lucy Sandor, one of the 10 outstanding kids selected to be a TFK Kid Reporter this school year. Lucy is 11 years old and lives in Caldwell, New Jersey. She loves to skateboard and play her ukulele. As a reporter, Lucy hopes to cover a Comic-Con event or interview writer Neil Gaiman.
Finalists in the TFK Kid Reporter contest were judged on a number of factors. One of their assignments was to write an article about a hometown hero. Lucy’s story is about two teenagers who brought hope to nursing-home residents during the COVID-19 pandemic. You can read it below. We’ll be introducing the rest of the TFK Kid Reporter squad throughout September.

When most people think of heroes, they don’t picture teenage girls. But if you ask the residents at Family of Caring nursing home in Montclair, New Jersey, to name someone heroic, they will tell you that two local high schoolers rescued them from isolation and restored their sense of hope. 
Annika Aristimuno and Layla Hurwitz started writing letters and sending artwork to residents at Family of Caring in March 2020, when COVID-19 kept the girls from going into the home for their community-service club. Annika and Layla reached out to friends and family to ask if they also wanted to send letters. In a month, the girls had dozens of volunteers and more than 50 pieces of mail to send. 
Annika and Layla realized they needed to get organized. They called their project Letters for Rose. The name came from one of their favorite residents, Rose, who had always been excited to see the girls when they were still allowed to make in-person visits. “Rose would grab our hands and be really happy to see us,” Annika told TIME for Kids. “She was looking for that person from outside [the home] to interact with.” 
The idea to write letters to residents came from Layla’s memory of seeing a resident get a letter from a family member. “She started crying, and it was this big moment for her,” Layla says.
To spread the word about Letters for Rose, Annika and Layla set up Instagram and TikTok accounts, as well as a website. People all over the country were inspired and asked how they could begin their own chapters, so the girls developed “a really easy program for how to get started,” Annika says. Just 16 months after Letters for Rose was born, there were more than 280 chapters throughout 35 states and more than 6,000 volunteers. 
The starter program includes advice for making letters more personal and meaningful. These elements make all the difference, according to Nancy Sherman. She is an activities coordinator at Friendship Village, a senior-living community in Tempe, Arizona. “The letters were personalized, [and the residents] read them over and over,” Sherman says. “It was so nice at a time when we couldn’t have any visitors.” 
It's not just the nursing-home residents who see Annika and Layla as heroes. The Letters for Rose volunteers do, too. Teens also faced isolation during COVID-19. This project helped restore “warm feelings” of connection, says Krista Lee, a letter writer for the Brookline, Massachusetts, chapter. 
Letters for Rose Montclair outreach coordinator Julianne Eckert agrees. Annika and Layla’s project “helped me gain confidence,” she says. “Even when [residents] don’t respond, I feel like I’ve made a connection, which is such an important part of life and being a happy, healthy person.”
",g3456
170,170,TFK Kid Reporters: Meet Ethan,"{'People', 'Community'}","
Meet Ethan Zhang, one of the 10 outstanding kids selected to be a TFK Kid Reporter this school year. Ethan is 9 years old and lives in McLean, Virginia. He loves realistic fiction books, hates movie spoilers, and hopes to be a writer or an athlete when he grows up.
Finalists in the TFK Kid Reporter contest were judged on a number of factors. One of their assignments was to write an article about a hometown hero. Ethan’s story is about Maria Perrone, the leader of a program that serves healthy meals to kids in Fairfax County, Virginia. You can read it below.

It’s 9:50 a.m. on July 22, 2021. Outside Shrevewood Elementary School, in Falls Church, Virginia, a school bus pulls over. A boy heads to its rear door, where he is handed two heavy, chilled bags. Inside is a week's worth of milk, fresh apples and oranges, muffins, burgers, and pizzas. 
This is not your regular school bus—after all, it’s summer break. But every day, 10 buses like this one travel to families in the Fairfax County Public Schools (FCPS) system to drop off food. These vehicles are nicknamed Meal Kit Buses. They are part of the FCPS free grab-and-go meal program. The person leading the program is Maria Perrone. Her mission: serving healthy meals.
Giving good food to kids in one of the nation’s largest school systems is a big task. “About 60,000 [students in the county] are eligible for free and reduced-price meals,” Perrone told TIME for Kids. Addressing food insecurity has been Perrone’s priority during her 15 years in food services. It has become even more important during the COVID-19 pandemic. 
Perrone and her team, who have been “the boots on the ground” as she puts it, are working nonstop. Meal distribution by bus started on the first day that the county’s schools closed because of COVID-19: March 13, 2020. To cover the county’s 400 square miles, 418 bus stops and 120 meal distribution sites were set up. 
Perrone begins her workday at 5 a.m. She spends a lot of her time responding to unknowns—such as unanticipated food and staff shortages, two particular challenges this past year. “I try to be prepared for anything that could potentially not go as planned,” she says.
The result: More than 14.5 million meals have been distributed since March 2020. “Meals have been the one constant this last year,” Perrone says. This accountability is crucial during uncertain times. The meal buses serve as a lifeline for many. 
For some, getting food from the Meal Kit Buses has become an event to look forward to. “I love coming here,” says the boy from earlier. “It’s like a playdate.” He smiles. 
“The kids feel like they are visiting the school cafeteria even though schools are closed,” his mom adds.
Perrone’s peers recognize her efforts. Coworker Megan Mauer says that Perrone “always puts FCPS students and employees first.” And Perrone was honored by FCPS as a 2021 Outstanding Employee. The awards’ web page notes that she “strives to ensure all children receive the nourishment needed to achieve academic success.”
",g3456
171,171,Saving Monarchs,"{'Environment', 'Animals'}","
In the 1980s, about 4½ million monarch butterflies spent winter on the coast of California and northern Mexico every year. “There would be these forests of monarch butterflies looking like leaves on trees,” Elizabeth Crone told TIME for Kids. She’s a professor at Tufts University. That’s in Massachusetts. Crone studies monarchs.

 
In 2020, fewer than 2,000 monarchs were counted in California. Their population has dropped more than 99%. “The decline has been pretty staggering,” Hillary Sardiñas says. She works for the California Department of Fish and Wildlife (CDFW). In the West, “folks haven’t seen monarchs in a number of years.”
CDFW, River Partners, and other groups want to change that. They began last year to plant 30,000 milkweeds in California. Monarchs need milkweed to survive. Will this plan save the species?
Monarchs and Milkweed
Monarchs breed only where milkweed is growing. Females lay eggs on it. Monarch caterpillars eat it. The plant is poisonous to many animals. But not to monarchs. Its poisons build up in the butterfly’s body. This makes the monarch deadly to predators.

In California, milkweed is “virtually gone” due to farming, according to Cheryl Schultz. She teaches at Washington State University. She’s an adviser on the project. Schultz says the goal “is to get enough milkweed into the landscape so that when monarchs are migrating and leave the coast, they can find places to breed.” 

 
There are two groups of monarch butterflies in North America. Eastern monarchs live east of the Rocky Mountains. They migrate south to Mexico in the fall. They fly back north in the spring. Western monarchs live west of the Rockies. In the fall, they migrate to California and northern Mexico. In the spring, they fly .
Both groups are in decline. Scientists blame habitat loss, climate change, and pesticides. But monarchs aren’t on the endangered-species list. The United States Fish and Wildlife Service said last year that the butterflies deserved protection. But it thinks other species need more help.
In the Field
Last March, Asia Jones led a planting crew for River Partners. It worked at the Yolo Bypass Wildlife Area. Team members planted milkweed . “They’d walk in a straight line down a row,” Jones says. “Every three feet, they’d dig a quick hole and throw in a rhizome.” 

 

Data from the next western monarch butterfly count is due in January. “People like to see these bright-colored orange butterflies,” Crone says. Schultz thinks it will take at least 10 years for the numbers to go up. “Restoring the habitat takes time,” she says. “But I have an incredible sense of hope that we can do this.”
You Can Help

Do your part to protect monarchs. “What I want kids to do is get engaged,” says Hillary Sardiñas of the California Department of Fish and Wildlife. How? Plant native milkweed. And if you are in the West and you see a monarch, take a photo. Upload it to the Western Monarch Milkweed Mapper. “You can help track the migrating monarchs and understand where they are during the year,” Sardiñas says. “That is super valuable information to us.”
 
",g3456
172,172,Mapping Coral Reefs,"{'Environment', 'World'}","
Scientists have a new tool. It’s the Allen Coral Atlas. It’s a detailed online map of the world’s coral reefs. Its data will help conservationists.
Coral reefs are home to ocean animals. These include fish and crabs. Reefs provide economic benefits to millions of people. They also protect coastlines.
The atlas was made using satellite images. More than 2 million images went into it. It gives users detailed views of coral reefs. It shows features such as sand, rocks, and seagrass. And it has a coral bleaching monitor. This tracks changes in the health of coral reefs.
The Allen Coral Atlas is the work of many people. Scientists at Arizona State University led the project. They partnered with other schools, groups, and private companies. “It really was a global effort,” Helen Fox says. She’s with the Coral Reef Alliance. “There were huge efforts [to help] people be aware of the tool and the potential scientific and conservation value.”
Stop and Think! What information about the atlas do you find in the first paragraph? How does the rest of the article add to your understanding of the atlas?
",g3456
174,174,Blastoff!,"{'Science', 'Space'}","
The Inspiration4 mission has officially begun. On Thursday, September 15, at just after 8:00 p.m. ET, four civilian astronauts blasted off from Kennedy Space Center, in Florida. This is the first time an all-civilian crew has gone into orbit. 
The launch was live-streamed for people around the world to see. There’s a camera inside the Crew Dragon spacecraft. As they traveled away from Earth, the astronauts could be seen giving thumbs-up and fist-bumping. 
The Crew Dragon will orbit the Earth for three days before splashing down off the coast of Florida. While on board, the crew members plan to perform health experiments. They’ll also call loved ones and hospital patients back at home. One of the astronauts, an artist, will do some painting, to learn how watercolors behave in zero gravity. 
With a top altitude of 360 miles, the Crew Dragon is orbiting even higher than the International Space Station. “We want to get outside of our comfort zone,” billionaire Jared Isaacman told TIME. He’s the mission’s commander. “If we ultimately want to go to the moon and Mars, we should start taking steps today so we can eventually make life interplanetary.”


",g3456
175,175,Teen Tennis Takeover,"{'United States', 'Sports'}","
Emma Raducanu, 18, won the Grand Slam women’s final at the U.S. Open on September 11. Raducanu is a tennis player from the United Kingdom. She beat Leylah Fernandez, 19, of Canada. The final score was 6–4, 6–3. It was the first time since 1999 that two teens competed in a major tennis tournament final.
When she entered the U.S. Open, Raducanu was largely unknown to tennis fans. Then she won 10 matches to finish undefeated. Now she has people’s attention. Queen Elizabeth II wrote to Raducanu to applaud her “remarkable achievement at such a young age.”
Tennis star Billie Jean King handed Raducanu the trophy at Arthur Ashe Stadium, in New York City. Raducanu celebrated by carrying it around the court. “I can’t believe it,” she said.


",g3456
177,177,What Do You Think?,"{'Community', 'Time Off'}","
TIME for Kids spotted this lemonade stand in Beacon, New York, last month. Lucas (left) and Abe let us snap a photo. Have you seen something that you read about in TFK? Tell us! Send your photos, drawings, or thoughts to tfkeditors@time.com for a chance to appear in a future issue.
",g3456
178,178,Taking a Stand,"{'Business', 'United States'}","
Last year, a 9-year-old boy from Philadelphia, Pennsylvania, set up a lemonade stand. He got lots of customers. “They all took a sip of lemonade and either gave a thumbs-up or said it was really good!” he told TIME for Kids. Even so, he didn’t want to share his name for this article. That’s because he found out he’d broken a state law by operating a business without a permit.
In most states, it’s illegal for kids to open a lemonade stand without first applying for a permit or license. These laws have a purpose. They stop business owners from disregarding food-safety standards and traffic rules. But permits and licenses cost time and money. 
The good news for young ? In recent years, several states have made it easier for kids to run lemonade stands. And more lawmakers are getting on board.
Passing a Bill
Pennsylvania now supports kids selling lemonade. John Hershey is a state representative there. In February, he introduced a bill. It was nicknamed Free the Lemonade Stand. It  kids from having to get a permit or license before starting most small, short-term businesses. Hershey says running a lemonade stand is an “opportunity that young kids should have.” 
Tom Wolf is Pennsylvania’s governor. On June 30, he signed Hershey’s bill into law. 
Reaping Rewards
There are many reasons for a kid to start a business. They include raising money for charity and keeping busy. Victoria Hanson, 11, is a former TFK Kid Reporter. She lives in Chadds Ford Township, Pennsylvania. Victoria supports her state’s new law. “Children are not old enough to apply for jobs,” she says. “Selling lemonade is an easy way for kids to make money.” 
Hershey says that kids who run a business learn valuable skills. “The American dream is to want to build something for yourself,” he says. And this new lemonade-stand law “helps kids do that at an early age.” 


",g3456
179,179,Should Kids Run Businesses?,"{'Business', 'Debate'}","
Running a business can be both complicated and rewarding. Should kids be allowed to take on that task? Some say running a business lets kids earn money and learn how to manage it. It’s never too early to pick up such skills. Others say that in the long run, kids benefit more from focusing on school and extracurricular activities. Running a business can be distracting.
Should kids run businesses? TFK Kid Reporters Ethan Zhang and Via Ryerson weigh in. What do you think?  
Yes
Ethan Zhang, 9
McClean, Virginia
Did you know that Warren Buffett, one of the world’s greatest businessmen, sold chewing gum and soda to his neighbors when he was a kid? Running a business at a young age can teach you skills that will benefit you in the future. According to Gallup survey published in 2017, 40% of kids in grades 5 through 12 plan to one day start a business. Giving it a try early on can help you learn. It can also get you ready for new opportunities. 
Becoming a young entrepreneur teaches you important lessons. These include how to set goals and how to manage money. Finally, running a business teaches critical thinking and persistence. These skills can help you excel in school. 
No
Via Ryerson, 9
Philadelphia, Pennsylvania
Kids should not run businesses. They should be expanding their knowledge by focusing on school. They learn an array of subjects at school—more than they’ll learn from a business. The more subjects kids learn, the wider the range of things they can do when they get older. 
When kids aren’t running a business, they are more likely to join after-school clubs or sports teams. These activities can build mental and physical strength. They can also teach kids to solve problems and collaborate. 
Plus, kids who are running a business have less time to spend having fun. Kids should just be kids.



",g3456
180,180,A Lively Adventure,"{'Movies and Television', 'Time Off'}","
Vivo is a new animated musical. It’s out now in theaters and on Netflix. The main character is a kinkajou. That’s a rainforest mammal also known as a honey bear. In the film, Vivo spends his days playing music in Cuba. He plays with his human, Andrés.
Then Vivo sets off on an adventure. He needs to deliver a letter to Marta. That’s Andrés’s long-lost love. Vivo must travel to faraway places to reach her. He gets help from a 10-year-old named Gabi. 
Ynairaly Simo, 14, voices Gabi. Ynairaly has been acting since she was 5. She also loves music. Vivo features a song called “My Own Drum,” which Ynairaly got to perform solo. “It was so much fun! It was my first time at a recording studio recording a song,” she told TIME for Kids. 
Playing Gabi wasn’t hard, Ynairaly says, because she and the character are so similar. 
“I admire that she doesn’t care what anyone thinks about her and that she does whatever makes her feel happy,” Ynairaly says.

",g3456
181,181,Her Turn at Bat,"{'Books', 'Time Off'}","
In Nic Stone’s Fast Pitch, Shenice Lockwood is captain of the Fulton Firebirds. It’s the first all-Black team in Georgia’s Dixie Youth Softball Association. Shenice is determined to take her team to the championship. But she loses focus after learning a family secret. Shenice’s great-grandfather JonJon was once accused of theft and kicked out of his baseball league. Her great-uncle says JonJon was framed. Can Shenice unravel her family history and still lead her team to victory? 
Like Shenice, Stone played softball as a kid. She told TFK she wrote Fast Pitch because she “never saw books about Black girls playing sports” when she was growing up. She wanted that to be different for kids today. 	
",g3456
182,182,TFK Kid Reporters: Meet Lauryn,"{'People', 'Community'}","
Meet Lauryn Chew, one of the 10 outstanding kids selected to be a TFK Kid Reporter this school year. Lauryn is 13 years old and lives in Irvine, California. She loves to Rollerblade with her friends and do ballet. Lauryn says she would like to work as a public-health official one day.
Finalists in the TFK Kid Reporter contest were judged on a number of factors. One of their assignments was to write an article about a hometown hero. Lauryn’s story is about Elaine Murphy, a Girl Scout troop leader in Orange County, California. You can read it below. We’ll be introducing the rest of the TFK Kid Reporter squad this month.

“Make the world a better place.” This Girl Scout law guides more than 1.7 million Girl Scouts around the world. In just 12 years, Orange County Girl Scout troop leader Elaine Murphy has helped more than 150 girls build courage and self-confidence. But her troop has a unique story. It’s based at the Orange County Rescue Mission, which helps bring families out of homelessness.
Murphy has been an active member of Girl Scouts for three decades. An old friend and fellow scout reached out to her about starting a troop at the Orange County Rescue Mission. In 2009, the two started Troop 1082 with just five girls. “I wanted to give the girls the same opportunities that I had and that other girls have,” Elaine told TIME for Kids. “I hoped they’d realize that anything was possible and could see their full potential through Girl Scouts. And many of them have done that.” The girls have achieved high-level awards like the Girl Scout Gold Award, gone camping, and traveled internationally to Our Cabaña, the Girl Scout World Center in Mexico.
The troop’s primary challenge has been limited technology access. Communications, activities, and projects typically happen in person, but the pandemic has stopped the year-round weekly meetings. To overcome this obstacle, Murphy has met with scouts one-on-one so the girls could continue their projects. She does this because of her dedication and passion. “She has a lot of empathy for anyone who has been pushed aside in the community,” says her mom, Karen.
Murphy shows no signs of leaving her leadership role. “Seeing their accomplishments and their achievements and how much they love Girl Scouts is by far the best part for me,” she says. Murphy is proud of her girls and thankful for her hardworking coleaders.
Being in Troop 1082 has significantly impacted the scouts. Valerie, 10, is one of them. Before joining, she felt excluded, because many girls she knew were scouts. “[Murphy] helped me have a fun time and come out of my shell,” Valerie says. “She makes the Girl Scout meetings really fun and lets us do so many awesome activities.”
As a leader of Troop 1082, Elaine has faced numerous challenges and has an important message to share: No matter who you are, where you come from, or what you believe, you can help create a better future for the leaders of tomorrow.
",g3456
183,183,TFK Kid Reporters: Meet David,"{'People', 'Community'}","
Meet David Murtagh, one of the 10 outstanding kids selected to be a TFK Kid Reporter this school year. David is 11 years old and lives in Alexandria, Virginia. He likes to play the piano and ride his bike. David also likes to use his “old-style record player” to listen to music. 
Finalists in the TFK Kid Reporter contest were judged on a number of factors. One of their assignments was to write an article about a hometown hero. David’s story is about Alton Wallace, who started a foundation to help children go to college. You can read about it below. We’ll be introducing the rest of the TFK Kid Reporter squad throughout September.


Alton Wallace, 77, is the son of a Black farmer. Wallace grew up in New Bern, North Carolina. He spent his youth outside, enjoying nature. Wallace attended the local overcrowded and segregated schools, which lacked supplies and equipment. He was picked as one of only a few students from his school who were permitted to take the SAT at an all-white public school. He was awarded a scholarship to North Carolina Agricultural and Technical (A&T) State University, in Greensboro. 
In 1960, students from North Carolina A&T sat down at a lunch counter and refused to leave until they were served, starting a historic sit-in movement among Black students across the country. Three years later, Wallace participated in the second wave of sit-ins. He says he was arrested at a movie theater and spent a week in jail. Wallace says that once he got out, he attended another sit-in and was held for a week at the Greensboro Coliseum because the jail was full. 
Wallace says that, in 1966, he was driving home on Good Friday when he heard on the radio that the church he had attended as a child had been the target of an attack by the Ku Klux Klan. That was one of several events that shaped his passion to get involved in civil rights work. Another happened when Wallace was a teenager. He was standing on the side of the road and some white boys drove by and threw rocks at him. He recognized one of the boys as his former best friend. They had spent summers together when they were children. “It broke my heart,” Wallace told TIME for Kids.
Wallace graduated from Pennsylvania State University in 1968. He then served in the Army. He spent part of his military career in Vietnam. Afterward, in 1974, Wallace received a PhD in mathematics from the University of Maryland. It was while getting his PhD that Wallace decided he wanted to help poor children, through education. 
Wallace went on to become a founder of the Alfred Street Baptist Church Foundation. It raises money for scholarships that go to high-school students who cannot otherwise afford college. Hundreds of students have received these scholarships.
",g3456
